1|134|5
1|975|21
1|611|16
1|1096|11
1|339|22
1|771|18
1|24|10
1|1244|7
1|152|6
1|1046|14
1|237|12
1|603|16
1|1201|8
1|1188|6
1|925|9
1|715|11
1|993|20
1|617|12
1|869|17
1|357|23
1|252|6
1|236|17
1|635|13
2|878|15
2|1051|1
2|166|6
3|1238|3
3|447|10
3|9|9
3|420|7
3|477|5
3|342|20
4|176|18
4|814|10
4|188|8
4|597|10
4|793|11
4|842|15
5|632|19
5|793|17
5|1190|14
5|308|11
5|931|7
5|974|5
6|732|10
6|882|15
6|515|24
6|893|17
6|1047|14
6|444|15
6|344|12
6|87|23
6|723|9
6|1189|12
6|689|20
6|806|24
6|387|15
6|92|7
6|382|22
6|850|8
7|88|5
7|498|14
7|515|16
7|27|23
7|1150|8
7|1040|17
7|987|14
7|540|21
7|1250|7
7|316|20
7|321|19
7|806|23
7|499|13
7|344|22
7|243|15
7|141|7
7|322|17
7|439|23
7|641|16
7|500|17
8|279|23
8|557|24
8|19|14
8|1193|8
8|525|20
8|546|10
8|108|8
8|1128|13
8|857|7
8|30|23
8|113|14
8|518|24
8|1104|10
8|1154|4
9|1249|2
9|567|19
9|1194|17
9|590|23
9|479|5
9|1235|11
9|492|19
9|99|16
9|785|16
9|698|6
9|753|9
9|25|9
9|978|16
10|1194|17
10|606|15
10|759|18
10|828|18
10|25|20
10|5|14
10|349|5
11|383|20
11|1171|4
11|143|16
11|376|20
11|472|21
11|640|10
11|531|15
11|860|18
11|425|14
11|875|17
11|418|21
11|621|8
11|476|18
11|735|22
12|163|15
12|971|7
12|672|20
12|192|9
12|127|18
12|469|20
12|1206|13
12|965|17
12|951|6
12|1094|14
12|768|7
12|1118|4
12|524|11
12|507|13
12|459|16
13|849|24
14|500|9
14|803|11
14|669|21
14|1230|6
14|19|21
14|459|20
14|512|14
14|911|14
14|1011|19
14|913|13
14|1029|16
14|1082|7
14|1187|7
14|32|11
14|1236|9
14|573|5
14|1197|3
14|723|15
14|751|5
14|1174|7
14|116|11
14|875|16
14|1160|13
14|62|20
15|527|22
15|219|5
15|209|8
15|632|11
15|432|16
15|1169|19
15|874|12
15|455|5
15|1158|10
15|1212|13
16|1216|3
17|1144|7
17|140|21
17|21|10
17|787|10
17|112|10
17|982|17
17|675|14
17|831|10
17|409|11
17|899|19
17|1119|16
17|1166|13
17|230|12
17|1182|2
17|978|9
17|177|19
17|252|15
18|392|16
18|1242|4
